Method,bag,bin,box,cabinet,chair,desk,display,door,shelf,table,bed,pillow,sink,sofa,toilet,overall accuracy,avg class accuracy
3DmFV,39.8,62.8,15,65.1,84.4,36,62.3,85.2,60.6,66.7,51.8,61.9,46.7,72.4,61.2,63,58.1
PointNet,36.1,69.8,10.5,62.6,89,50,73,93.8,72.6,67.8,61.8,67.6,64.2,76.7,55.3,68.2,63.4
SpiderCNN,43.4,75.9,12.8,74.2,89,65.3,74.5,91.4,78,65.9,69.1,80,65.8,90.5,70.6,73.7,69.8
PointNet++,49.4,84.4,31.6,77.4,91.3,74,79.4,85.2,72.6,72.6,75.5,81,80.8,90.5,85.9,77.9,75.4
DGCNN,49.4,82.4,33.1,83.9,91.8,63.3,77,89,79.3,77.4,64.5,77.1,75,91.4,69.4,78.1,73.6
PointCNN,57.8,82.9,33.1,83.6,92.6,65.3,78.4,84.8,84.2,67.4,80,80,72.5,91.9,71.8,78.5,75.1
BGA-PN++,54.2,85.9,39.8,81.7,90.8,76,84.3,87.6,78.4,74.4,73.6,80,77.5,91.9,85.9,80.2,77.5
BGA-DGCNN,48.2,81.9,30.1,84.4,92.6,77.3,80.4,92.4,80.5,74.1,72.7,78.1,79.2,91,72.9,79.7,75.7
